TIME;drivetrain/gearbox/rpmMatchingRpmTarget;engine/rpm;drivetrain/gearbox/dsg/nextGear;sensors/gear;drivetrain/gearbox/state;drivetrain/gearbox/dsg/diagnosticFlags;drivetrain/gearSelector/position;drivetrain/gearbox/dsg/gearSelectorPosition;drivetrain/gearbox/stateTimer;drivetrain/torqueEstimation/engineTorquePercent;drivetrain/torqueEstimation/dsgEngineTorquePercent;drivetrain/gearbox/dsg/requestedTorque;ignition/angle;drivetrain/gearbox/torqueReduction/dbwCorrection;drivetrain/gearbox/torqueReduction/cylinderCut;drivetrain/gearbox/torqueReduction/ignCorrection;drivetrain/gearbox/torqueReduction;sensors/tps1;dbw/target
0.000;0;1113;;;;0;;;0;0.000;0.000;;10.900;0.000;;0.000;0.000;4.500;4.600
0.020;;1116;;;;;;;;;;;;;;;;;
0.040;;1122;0;-3;0;;0;0;;;;0.000;10.500;;0.000;;;4.500;4.600
0.060;;1126;;;;;;;;;;;;;;;;;
0.080;;1124;;;;;;;;;;;9.900;;;;;4.500;4.600
0.100;0;1120;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
0.120;;1121;;;;;;;;;;;10.300;;;;;4.500;4.600
0.140;;1129;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
0.160;;1135;;;;;;;;;;;9.700;;;;;4.500;4.600
0.180;;1137;;;;;;;;;;;;;;;;;
0.200;0;1132;;;;0;;;0;0.000;0.000;;9.300;0.000;;0.000;0.000;4.500;4.600
0.220;;1123;;;;;;;;;;;;;;;;;
0.240;;1127;0;-3;0;;0;0;;;;0.000;10.000;;0.000;;;4.500;4.600
0.260;;1133;;;;;;;;;;;;;;;;;
0.280;;1135;;;;;;;;;;;9.400;;;;;4.500;4.600
0.300;0;1139;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
0.320;;1143;;;;;;;;;;;9.000;;;;;4.500;4.600
0.340;;1137;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
0.360;;1127;;;;;;;;;;;9.100;;;;;4.500;4.600
0.380;;1125;;;;;;;;;;;;;;;;;
0.400;0;1133;;;;0;;;0;0.000;0.000;;9.700;0.000;;0.000;0.000;4.500;4.600
0.420;;1140;;;;;;;;;;;;;;;;;
0.440;;1145;0;-3;0;;0;0;;;;0.000;8.600;;0.000;;;4.500;4.600
0.460;;1145;;;;;;;;;;;;;;;;;
0.480;;1141;;;;;;;;;;;8.400;;;;;4.500;4.600
0.500;0;1140;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
0.520;;1139;;;;;;;;;;;8.600;;;;;4.500;4.600
0.540;;1143;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
0.560;;1142;;;;;;;;;;;8.300;;;;;4.500;4.600
0.580;;1139;;;;;;;;;;;;;;;;;
0.600;0;1140;;;;0;;;0;0.000;0.000;;8.500;0.000;;0.000;0.000;4.500;4.600
0.620;;1141;;;;;;;;;;;;;;;;;
0.640;;1136;0;-3;0;;0;0;;;;0.000;8.300;;0.000;;;4.500;4.600
0.660;;1133;;;;;;;;;;;;;;;;;
0.680;;1126;;;;;;;;;;;8.700;;;;;4.500;4.600
0.700;0;1121;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
0.720;;1116;;;;;;;;;;;9.400;;;;;4.500;4.600
0.740;;1112;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
0.760;;1109;;;;;;;;;;;9.800;;;;;4.500;4.500
0.780;;1106;;;;;;;;;;;;;;;;;
0.800;0;1111;;;;0;;;0;0.000;0.000;;10.200;0.000;;0.000;0.000;4.400;4.500
0.820;;1120;;;;;;;;;;;;;;;;;
0.840;;1129;0;-3;0;;0;0;;;;0.000;9.200;;0.000;;;4.500;4.500
0.860;;1127;;;;;;;;;;;;;;;;;
0.880;;1115;;;;;;;;;;;8.900;;;;;4.500;4.500
0.900;0;1106;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
0.920;;1106;;;;;;;;;;;10.100;;;;;4.500;4.500
0.940;;1110;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
0.960;;1111;;;;;;;;;;;9.800;;;;;4.500;4.500
0.980;;1110;;;;;;;;;;;;;;;;;
1.000;0;1113;;;;0;;;0;0.000;0.000;;9.800;0.000;;0.000;0.000;4.400;4.500
1.020;;1118;;;;;;;;;;;;;;;;;
1.040;;1120;0;-3;0;;0;0;;;;0.000;9.200;;0.000;;;4.400;4.500
1.060;;1112;;;;;;;;;;;;;;;;;
1.080;;1097;;;;;;;;;;;9.500;;;;;4.400;4.500
1.100;0;1086;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
1.120;;1085;;;;;;;;;;;11.100;;;;;4.400;4.500
1.140;;1090;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
1.160;;1097;;;;;;;;;;;10.800;;;;;4.400;4.500
1.180;;1100;;;;;;;;;;;;;;;;;
1.200;0;1100;;;;0;;;0;0.000;0.000;;10.200;0.000;;0.000;0.000;4.400;4.500
1.220;;1101;;;;;;;;;;;;;;;;;
1.240;;1102;0;-3;0;;0;0;;;;0.000;10.200;;0.000;;;4.400;4.500
1.260;;1103;;;;;;;;;;;;;;;;;
1.280;;1103;;;;;;;;;;;10.100;;;;;4.400;4.500
1.300;0;1105;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
1.320;;1107;;;;;;;;;;;9.900;;;;;4.400;4.500
1.340;;1113;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
1.360;;1120;;;;;;;;;;;9.400;;;;;4.400;4.500
